source_dataset,player_id,player_name,draft_year,pick_number,college,college_year_season,college_year_team,college_year_class_year,college_season_number,college_season_count,college_year_age,college_year_pos,ast_pct_actual,ast_pct_expected,ast_pct_deviation,tov_pct_actual,tov_pct_expected,tov_pct_deviation,stl_pct_actual,stl_pct_expected,stl_pct_deviation,blk_pct_actual,blk_pct_expected,blk_pct_deviation,orb_pct_actual,orb_pct_expected,orb_pct_deviation,drb_pct_actual,drb_pct_expected,drb_pct_deviation,ts_pct_actual,ts_pct_expected,ts_pct_deviation,ws_per_40_actual,ws_per_40_expected,ws_per_40_deviation,bpm_actual,bpm_expected,bpm_deviation,ftr_actual,ftr_expected,ftr_deviation
training,201565,Derrick Rose,2008,1,Memphis,2007-08,Memphis,FR,1,1,19.07,G,30.4,22.221245150997575,8.178754849002424,16.7,15.382252396710754,-1.317747603289245,,,,0.9,0.804786153571326,0.09521384642867403,,,,,,,0.56,0.5542021332426837,0.005797866757316306,0.226,0.19969577946514305,0.026304220534856954,,,,0.47,0.4393768039902639,0.030623196009736064
training,201563,Michael Beasley,2008,2,Kansas State,2007-08,Kansas St.,FR,1,1,18.81,F,9.3,11.887672661596024,-2.5876726615960237,11.8,11.115938634264374,-0.6840613657356265,,,,3.7,2.3871519223329574,1.3128480776670428,,,,,,,0.61,0.5624500615966829,0.047549938403317116,0.413,0.260478246050932,0.15252175394906797,,,,0.484,0.43216557441161363,0.05183442558838636
training,201564,O.J. Mayo,2008,3,Southern California,2007-08,USC,FR,1,1,19.99,G,21.4,26.250985639872294,-4.850985639872295,16.1,14.1454494643071,-1.954550535692901,,,,0.7,1.1143236536939534,-0.4143236536939534,,,,,,,0.562,0.547760463140882,0.014239536859118052,0.172,0.1704229357461896,0.0015770642538103785,,,,0.284,0.3570032175073447,-0.07300321750734473
training,201566,Russell Westbrook,2008,4,California-Los Angeles,2007-08,UCLA,SO,2,2,18.97,G,24.4,25.448563904020958,-1.0485639040209591,17.2,16.462051308362792,-0.7379486916372073,,,,0.4,1.2801678919783732,-0.8801678919783732,,,,,,,0.538,0.5508714717572717,-0.012871471757271657,0.161,0.1520394259665795,0.008960574033420515,,,,0.384,0.4327759184126542,-0.04877591841265422
training,201567,Kevin Love,2008,5,California-Los Angeles,2007-08,UCLA,FR,1,1,19.15,C,14.1,11.198566923411406,2.901433076588594,12.9,13.31325711819226,0.4132571181922593,,,,3.6,2.781809827679208,0.8181901723207923,,,,,,,0.644,0.5737315225139288,0.07026847748607123,0.391,0.23875254183405892,0.1522474581659411,,,,0.635,0.5167599835197595,0.11824001648024052
training,201569,Eric Gordon,2008,7,Indiana,2007-08,Indiana,FR,1,1,18.85,G,15.2,21.25867115781012,-6.058671157810121,17.1,15.313260578239937,-1.786739421760064,,,,1.3,0.7883276414081536,0.5116723585918465,,,,,,,0.601,0.5665472505516895,0.03445274944831045,0.217,0.17371885454330147,0.04328114545669853,,,,0.652,0.4538039054413525,0.1981960945586475
training,201570,Joe Alexander,2008,8,West Virginia,2007-08,West Virginia,JR,3,3,20.85,G,16.7,18.68555500517137,-1.9855550051713706,12.4,13.584286221825838,1.1842862218258379,,,,3.7,2.280715010799646,1.4192849892003543,,,,,,,0.536,0.5706527303532403,-0.034652730353240235,0.213,0.19939001396908312,0.01360998603091687,,,,0.409,0.4653312583568675,-0.05633125835686753
training,201571,D.J. Augustin,2008,9,Texas,2007-08,Texas,SO,2,2,19.98,G,30.5,33.03707801758107,-2.5370780175810665,13.8,14.41388393351832,0.6138839335183199,,,,,,,,,,,,,0.557,0.5517687210714257,0.005231278928574334,0.169,0.19189161474822933,-0.022891614748229316,,,,0.401,0.40844003465343887,-0.007440034653438843
training,201572,Brook Lopez,2008,10,Stanford,2007-08,Stanford,SO,2,2,19.58,F,11.3,10.799393915588636,0.5006060844113644,10.7,13.04910879407234,2.3491087940723414,,,,4.9,5.184698886599269,-0.28469888659926834,,,,,,,0.537,0.5565442753853148,-0.01954427538531478,0.261,0.26180217738669526,-0.0008021773866952464,,,,0.494,0.48137668815997836,0.012623311840021634
training,201573,Jerryd Bayless,2008,11,Arizona,2007-08,Arizona,FR,1,1,19.2,G,25.0,27.62680666631455,-2.6268066663145504,15.5,15.106969494751883,-0.39303050524811667,,,,0.2,0.552292762851042,-0.352292762851042,,,,,,,0.612,0.5579274095572555,0.054072590442744484,0.178,0.16168140282043625,0.016318597179563743,,,,0.59,0.46020175149132014,0.12979824850867983
