experiment,position_archetype,n,actual_stars,actual_top5_stars,predicted_stars,star_false_negatives,top5_star_false_negatives,star_false_positives,out_predicted_star,out_p_star_ge_20,star_precision,star_recall,mean_p_star,actual_star_rate,mean_residual_star_signal
base_extra_trees,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.35627644268516945,0.0,
base_extra_trees,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1267919958710894,0.0,
base_extra_trees,PF / dominant_big,1,0,0,1,0,0,1,0,0,0.0,0.0,0.32154411085504625,0.0,
base_extra_trees,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.07020154624582838,0.0,
base_extra_trees,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.1606815015433781,0.0,
base_extra_trees,PF / stretch_big,4,1,1,1,0,0,0,0,1,1.0,1.0,0.1792581057462976,0.25,
base_extra_trees,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.4371212751643047,1.0,
base_extra_trees,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.1790126086355971,0.25,
base_extra_trees,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.12551092921752235,0.0,
base_extra_trees,SF / rim_runner,1,0,0,0,0,0,0,0,1,0.0,0.0,0.2626752731302782,0.0,
base_extra_trees,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.17652056783203904,0.0,
base_extra_trees,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.19447222277508466,0.0,
base_extra_trees,SG / offensive_wing,5,0,0,1,0,0,1,0,0,0.0,0.0,0.18847392570535573,0.0,
base_extra_trees,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.17556687251086872,0.0,
base_extra_trees,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.1574653395971478,0.0,
base_hist_gradient_boosting,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.27986303433385235,0.0,
base_hist_gradient_boosting,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.00022880930370655406,0.0,
base_hist_gradient_boosting,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.005416231037395591,0.0,
base_hist_gradient_boosting,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.00012288897778293703,0.0,
base_hist_gradient_boosting,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0011493897380069349,0.0,
base_hist_gradient_boosting,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.0008707513275754454,0.25,
base_hist_gradient_boosting,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.6579269583472088,1.0,
