experiment,prospect_archetype,n,actual_stars,predicted_stars,star_precision,star_recall,mean_p_star,actual_star_rate
base_extra_trees,dominant_big,1,0,1,0.0,0.0,0.32154411085504625,0.0
base_extra_trees,offensive_wing,8,0,1,0.0,0.0,0.1648628020224182,0.0
base_extra_trees,playmaking_forward,2,0,0,0.0,0.0,0.07020154624582838,0.0
base_extra_trees,primary_creator,1,1,1,1.0,1.0,0.4371212751643047,1.0
base_extra_trees,rim_runner,9,0,3,0.0,0.0,0.23721245654474193,0.0
base_extra_trees,secondary_creator,19,2,2,0.5,0.5,0.17721848673626386,0.10526315789473684
base_extra_trees,stretch_big,5,1,1,1.0,1.0,0.16876488377125598,0.2
base_extra_trees,two_way_wing,6,0,1,0.0,0.0,0.17596878118611622,0.0
base_hist_gradient_boosting,dominant_big,1,0,0,0.0,0.0,0.005416231037395591,0.0
base_hist_gradient_boosting,offensive_wing,8,0,0,0.0,0.0,0.04631267985595461,0.0
base_hist_gradient_boosting,playmaking_forward,2,0,0,0.0,0.0,0.00012288897778293703,0.0
base_hist_gradient_boosting,primary_creator,1,1,1,1.0,1.0,0.6579269583472088,1.0
base_hist_gradient_boosting,rim_runner,9,0,1,0.0,0.0,0.0965675653803129,0.0
base_hist_gradient_boosting,secondary_creator,19,2,2,0.0,0.0,0.07574018542752343,0.10526315789473684
base_hist_gradient_boosting,stretch_big,5,1,0,0.0,0.0,0.0007423629228016672,0.2
base_hist_gradient_boosting,two_way_wing,6,0,0,0.0,0.0,0.04924940203951229,0.0
base_logistic,dominant_big,1,0,1,0.0,0.0,0.5725633730360529,0.0
base_logistic,offensive_wing,8,0,1,0.0,0.0,0.09042522299003271,0.0
base_logistic,playmaking_forward,2,0,0,0.0,0.0,1.6207659684800604e-06,0.0
base_logistic,primary_creator,1,1,1,1.0,1.0,0.9953836853073346,1.0
base_logistic,rim_runner,9,0,1,0.0,0.0,0.11741286239960418,0.0
base_logistic,secondary_creator,19,2,4,0.25,0.5,0.20524305803603127,0.10526315789473684
base_logistic,stretch_big,5,1,1,0.0,0.0,0.13715383608341927,0.2
base_logistic,two_way_wing,6,0,1,0.0,0.0,0.07839495689835767,0.0
base_ordinal,dominant_big,1,0,0,0.0,0.0,0.18309524887643883,0.0
base_ordinal,offensive_wing,8,0,1,0.0,0.0,0.07519623444734116,0.0
base_ordinal,playmaking_forward,2,0,0,0.0,0.0,3.1525551647667386e-06,0.0
base_ordinal,primary_creator,1,1,1,1.0,1.0,0.9986540622118435,1.0
base_ordinal,rim_runner,9,0,1,0.0,0.0,0.11772629322362833,0.0
base_ordinal,secondary_creator,19,2,4,0.25,0.5,0.202437890071587,0.10526315789473684
base_ordinal,stretch_big,5,1,1,0.0,0.0,0.12986297336498162,0.2
base_ordinal,two_way_wing,6,0,1,0.0,0.0,0.14959285831765987,0.0
base_random_forest,dominant_big,1,0,0,0.0,0.0,0.2409363862330774,0.0
base_random_forest,offensive_wing,8,0,0,0.0,0.0,0.13177909156743225,0.0
base_random_forest,playmaking_forward,2,0,0,0.0,0.0,0.055161635540447694,0.0
base_random_forest,primary_creator,1,1,1,1.0,1.0,0.41355465104729977,1.0
base_random_forest,rim_runner,9,0,3,0.0,0.0,0.1958876535116582,0.0
base_random_forest,secondary_creator,19,2,1,0.0,0.0,0.16049454500785545,0.10526315789473684
base_random_forest,stretch_big,5,1,0,0.0,0.0,0.12179207999711061,0.2
base_random_forest,two_way_wing,6,0,1,0.0,0.0,0.14097144677244336,0.0
base_two_stage,dominant_big,1,0,0,0.0,0.0,0.29629202889553685,0.0
base_two_stage,offensive_wing,8,0,1,0.0,0.0,0.09413912633062169,0.0
base_two_stage,playmaking_forward,2,0,0,0.0,0.0,9.408145396864875e-06,0.0
base_two_stage,primary_creator,1,1,1,1.0,1.0,0.9944357857705902,1.0
base_two_stage,rim_runner,9,0,1,0.0,0.0,0.13193021579897216,0.0
base_two_stage,secondary_creator,19,2,4,0.25,0.5,0.20471154394893612,0.10526315789473684
base_two_stage,stretch_big,5,1,1,0.0,0.0,0.11253105216908918,0.2
base_two_stage,two_way_wing,6,0,1,0.0,0.0,0.1376534264824197,0.0
clean_adjusted_extra_trees,dominant_big,1,0,1,0.0,0.0,0.31233343672428115,0.0
clean_adjusted_extra_trees,offensive_wing,8,0,1,0.0,0.0,0.1613052908206807,0.0
